tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
NA,26.0,0.0,12.0,1.0,NA,NA,1.0,NA,0.0,NA,Gemini,1.0,0.0,0.0
NA,59.0,2.0,14.0,1.0,1.0,NA,0.0,NA,1.0,0.0,NaN,0.0,1.0,0.0
NA,45.0,1.0,9.0,0.0,NA,NA,1.0,NA,1.0,NA,Pisces,1.0,0.0,0.0
NA,32.0,1.0,9.0,0.0,NA,NA,0.0,NA,0.0,NA,Sagittarius,0.0,0.0,1.0
NA,39.0,4.0,10.0,1.0,NA,NA,0.0,NA,0.0,NA,Capricorn,0.0,0.0,1.0
1.0,26.0,0.0,14.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,Aquarius,1.0,0.0,0.0
2.0,25.0,1.0,8.0,0.0,NA,3.0,0.0,2.0,1.0,NA,Pisces,0.0,1.0,0.0
NA,21.0,0.0,15.0,0.0,0.0,NA,0.0,NA,1.0,1.0,Capricorn,0.0,0.0,1.0
NA,36.0,0.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Cancer,0.0,1.0,0.0
NA,76.0,3.0,8.0,1.0,NA,NA,0.0,NA,1.0,NA,Capricorn,0.0,0.0,1.0
5.0,19.0,0.0,12.0,1.0,NA,6.0,0.0,2.0,NA,NA,Virgo,0.0,0.0,1.0
NA,50.0,1.0,12.0,1.0,1.0,3.0,0.0,NA,1.0,0.0,Virgo,0.0,1.0,0.0
NA,21.0,0.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
1.0,23.0,0.0,15.0,0.0,NA,1.0,NA,2.0,0.0,NA,Capricorn,1.0,0.0,0.0
1.0,57.0,0.0,16.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,NaN,0.0,1.0,0.0
10.0,58.0,0.0,13.0,1.0,NA,NA,1.0,0.0,1.0,NA,Taurus,1.0,0.0,0.0
NA,48.0,5.0,11.0,0.0,NA,NA,1.0,NA,1.0,NA,Taurus,1.0,0.0,0.0
3.0,49.0,3.0,14.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,Leo,1.0,0.0,0.0
3.0,60.0,3.0,16.0,0.0,0.0,NA,0.0,0.0,1.0,0.0,Cancer,1.0,0.0,0.0
NA,45.0,2.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Cancer,1.0,0.0,0.0
10.0,29.0,2.0,10.0,1.0,0.0,NA,1.0,2.0,0.0,1.0,Aquarius,1.0,0.0,0.0
NA,29.0,3.0,13.0,1.0,0.0,NA,1.0,NA,0.0,1.0,Scorpio,1.0,0.0,0.0
NA,38.0,2.0,9.0,1.0,NA,NA,NA,NA,NA,NA,Leo,0.0,1.0,0.0
NA,50.0,0.0,20.0,0.0,1.0,NA,0.0,NA,0.0,0.0,Virgo,0.0,1.0,0.0
NA,56.0,3.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Aquarius,0.0,0.0,1.0
3.0,34.0,0.0,10.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,Capricorn,0.0,1.0,0.0
NA,21.0,0.0,14.0,0.0,0.0,7.0,0.0,NA,1.0,0.0,Sagittarius,0.0,1.0,0.0
NA,23.0,2.0,13.0,1.0,NA,NA,1.0,NA,0.0,NA,Taurus,0.0,0.0,1.0
2.0,18.0,0.0,12.0,1.0,1.0,6.0,0.0,2.0,NA,1.0,Cancer,0.0,1.0,0.0
1.0,51.0,2.0,14.0,1.0,NA,4.0,0.0,2.0,1.0,NA,Libra,1.0,0.0,0.0
12.0,55.0,2.0,10.0,0.0,NA,NA,1.0,0.0,0.0,NA,Taurus,1.0,0.0,0.0
3.0,39.0,0.0,16.0,1.0,1.0,3.0,NA,1.0,1.0,0.0,Virgo,0.0,0.0,1.0
2.0,26.0,3.0,12.0,1.0,1.0,3.0,NA,1.0,0.0,0.0,Cancer,0.0,0.0,1.0
NA,26.0,1.0,13.0,0.0,NA,NA,1.0,NA,0.0,NA,Taurus,1.0,0.0,0.0
NA,65.0,4.0,12.0,1.0,NA,NA,0.0,NA,NA,NA,NaN,0.0,0.0,1.0
4.0,41.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,Libra,1.0,0.0,0.0
1.0,48.0,1.0,16.0,1.0,NA,3.0,NA,2.0,1.0,NA,Virgo,0.0,1.0,0.0
3.0,76.0,3.0,13.0,1.0,0.0,NA,0.0,1.0,1.0,0.0,Scorpio,1.0,0.0,0.0
NA,28.0,0.0,18.0,0.0,NA,NA,0.0,NA,NA,NA,Leo,1.0,0.0,0.0
2.0,50.0,2.0,13.0,1.0,NA,2.0,0.0,1.0,0.0,NA,Aries,1.0,0.0,0.0
1.0,42.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,NaN,0.0,1.0,0.0
NA,26.0,0.0,14.0,1.0,1.0,4.0,1.0,NA,0.0,0.0,Virgo,0.0,0.0,1.0
1.0,49.0,0.0,12.0,0.0,NA,6.0,0.0,1.0,1.0,NA,Gemini,0.0,1.0,0.0
NA,33.0,0.0,12.0,0.0,0.0,NA,0.0,NA,1.0,1.0,Cancer,1.0,0.0,0.0
NA,43.0,0.0,17.0,1.0,NA,NA,0.0,NA,1.0,NA,NaN,0.0,1.0,0.0
NA,45.0,2.0,12.0,1.0,NA,NA,NA,NA,0.0,NA,Virgo,1.0,0.0,0.0
NA,48.0,0.0,18.0,0.0,0.0,NA,0.0,NA,1.0,1.0,Libra,1.0,0.0,0.0
6.0,22.0,1.0,13.0,1.0,NA,NA,0.0,2.0,0.0,NA,Taurus,0.0,0.0,1.0
1.0,22.0,0.0,12.0,1.0,NA,4.0,0.0,2.0,NA,NA,Libra,0.0,0.0,1.0
1.0,33.0,0.0,16.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,Scorpio,0.0,0.0,1.0
3.0,57.0,3.0,18.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,Taurus,0.0,1.0,0.0
0.0,52.0,2.0,20.0,1.0,NA,3.0,0.0,1.0,1.0,NA,Virgo,1.0,0.0,0.0
3.0,40.0,1.0,13.0,1.0,NA,NA,1.0,1.0,1.0,NA,Taurus,1.0,0.0,0.0
NA,31.0,3.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Aries,1.0,0.0,0.0
NA,37.0,0.0,14.0,0.0,0.0,5.0,0.0,NA,0.0,1.0,Scorpio,1.0,0.0,0.0
NA,30.0,3.0,11.0,1.0,NA,NA,0.0,NA,0.0,NA,Taurus,0.0,0.0,1.0
NA,68.0,0.0,13.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Libra,0.0,1.0,0.0
