guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
1,1,0,1,0,33,16,0,0,0,22500
1,1,0,1,0,31,16,1,1,0,22500
1,1,0,1,0,29,16,0,0,0,22500
0,1,0,1,0,60,16,1,1,0,22500
0,1,0,1,0,41,16,1,1,0,22500
1,1,0,1,0,26,16,1,0,1,22500
NA,1,0,1,0,38,16,1,0,0,22500
NA,1,0,1,0,22,16,1,0,0,22500
1,1,0,1,0,49,16,1,0,0,22500
1,1,0,1,0,27,16,1,0,0,22500
0,1,0,1,0,73,16,1,1,1,22500
0,1,0,1,0,26,16,1,0,0,22500
NA,1,0,1,0,52,16,1,0,0,22500
NA,1,0,1,0,99,16,1,1,0,22500
1,1,0,1,0,52,16,1,0,0,22500
1,1,0,1,0,40,16,1,0,1,22500
1,1,0,1,0,25,16,1,1,0,22500
0,0,0,0,0,72,16,0,1,0,22500
0,1,0,1,0,31,16,1,1,0,22500
1,1,0,1,0,28,16,1,0,0,22500
1,1,0,1,0,34,16,0,0,0,22500
1,1,0,1,0,65,16,1,0,0,22500
0,1,0,1,0,42,16,1,0,0,22500
1,0,0,0,0,65,16,1,0,0,22500
0,1,0,1,0,56,16,1,0,0,22500
1,1,0,1,0,45,16,0,0,0,22500
1,1,0,1,0,30,16,1,0,0,22500
1,1,0,1,0,24,16,1,0,0,22500
0,1,0,1,0,35,16,1,1,0,22500
1,1,0,1,0,24,16,1,0,0,22500
0,1,0,1,0,27,16,0,1,0,22500
NA,1,0,1,0,28,16,0,0,0,22500
1,1,0,1,0,44,16,0,0,0,22500
1,1,0,1,0,32,16,1,0,0,22500
0,1,0,1,0,28,16,0,1,0,22500
1,1,0,1,0,27,16,0,0,0,22500
1,1,0,1,0,33,16,1,0,1,22500
1,1,0,1,0,73,16,0,0,0,22500
0,1,0,1,0,62,16,0,1,0,22500
1,1,0,1,0,22,16,0,0,0,22500
1,1,0,1,0,26,16,1,0,1,22500
1,0,1,1,0,67,14,1,0,0,40000
1,0,1,1,0,73,14,0,0,1,40000
1,0,1,1,0,27,14,0,0,0,40000
0,0,1,1,0,24,14,0,0,0,40000
1,0,1,1,0,29,14,1,0,0,40000
NA,0,1,1,0,27,14,0,0,0,40000
1,0,1,1,0,42,14,1,0,0,40000
0,0,1,1,0,30,14,0,1,0,40000
1,0,1,1,0,62,14,1,0,0,40000
NA,0,1,1,0,73,14,1,0,0,40000
NA,0,1,1,0,36,14,0,0,0,40000
0,0,1,1,0,39,14,1,0,0,40000
1,0,1,1,0,22,14,1,0,0,40000
0,0,1,1,0,54,14,0,0,0,40000
1,0,1,1,0,31,14,1,0,0,40000
1,0,1,1,0,35,14,0,0,0,40000
1,0,1,1,0,60,14,1,0,1,40000
NA,0,1,1,0,42,14,0,0,0,40000
1,0,1,1,0,35,14,1,0,0,40000
1,0,1,1,0,61,14,1,0,0,40000
NA,0,1,1,0,32,14,1,0,0,40000
1,0,1,1,0,19,14,0,0,0,40000
1,0,1,1,0,28,14,0,0,0,40000
